week,month,segment,zone,vehicle_class,total_transactions,total_revenue_eur,avg_toll_eur
1,January,A2_Ost,Ost,LKW_18t,974,20932.15,21.4909
1,January,A2_Ost,Ost,LKW_7.5t,1255,18366.39,14.6346
1,January,A9_Sued,Sued,LKW_18t,1047,18026.17,17.217
1,January,A7_West,West,LKW_18t,927,13471.91,14.5328
1,January,A9_Sued,Sued,LKW_7.5t,1119,13150.4,11.7519
1,January,A7_West,West,LKW_7.5t,1208,12029.66,9.9583
1,January,A1_Nord,Nord,LKW_18t,950,11773.08,12.3927
1,January,A1_Nord,Nord,LKW_7.5t,1113,9420.18,8.4638
1,January,A2_Ost,Ost,Bus,715,8700.88,12.1691
1,January,A9_Sued,Sued,Bus,728,7091.5,9.7411
1,January,A7_West,West,Bus,717,5914.78,8.2493
1,January,A1_Nord,Nord,Bus,693,4841.63,6.9865
1,January,A100_Berlin,Berlin,LKW_18t,933,2947.79,3.1595
1,January,A100_Berlin,Berlin,LKW_7.5t,1238,2661.93,2.1502
1,January,A100_Berlin,Berlin,Bus,665,1188.14,1.7867
1,January,A1_Nord,Nord,PKW,1893,0.0,0.0
1,January,A7_West,West,PKW,1945,0.0,0.0
1,January,A2_Ost,Ost,PKW,1917,0.0,0.0
1,January,A100_Berlin,Berlin,PKW,1839,0.0,0.0
1,January,A9_Sued,Sued,PKW,1914,0.0,0.0
2,January,A2_Ost,Ost,LKW_18t,948,20343.65,21.4596
2,January,A9_Sued,Sued,LKW_18t,1006,17335.3,17.2319
2,January,A2_Ost,Ost,LKW_7.5t,1159,16971.65,14.6434
2,January,A7_West,West,LKW_18t,976,14165.59,14.5139
2,January,A9_Sued,Sued,LKW_7.5t,1204,14132.82,11.7382
2,January,A7_West,West,LKW_7.5t,1207,12001.28,9.9431
2,January,A1_Nord,Nord,LKW_18t,938,11625.64,12.3941
2,January,A1_Nord,Nord,LKW_7.5t,1104,9307.45,8.4307
2,January,A2_Ost,Ost,Bus,662,8081.28,12.2074
2,January,A9_Sued,Sued,Bus,779,7574.08,9.7228
2,January,A7_West,West,Bus,708,5834.33,8.2406
2,January,A1_Nord,Nord,Bus,752,5261.47,6.9966
2,January,A100_Berlin,Berlin,LKW_18t,962,3027.66,3.1473
2,January,A100_Berlin,Berlin,LKW_7.5t,1185,2547.23,2.1496
2,January,A100_Berlin,Berlin,Bus,688,1224.16,1.7793
2,January,A7_West,West,PKW,1916,0.0,0.0
2,January,A2_Ost,Ost,PKW,1838,0.0,0.0
2,January,A100_Berlin,Berlin,PKW,1838,0.0,0.0
2,January,A1_Nord,Nord,PKW,1904,0.0,0.0
2,January,A9_Sued,Sued,PKW,1904,0.0,0.0
3,January,A2_Ost,Ost,LKW_18t,966,20706.66,21.4355
3,January,A2_Ost,Ost,LKW_7.5t,1227,17962.21,14.6391
3,January,A9_Sued,Sued,LKW_18t,969,16651.12,17.1838
3,January,A7_West,West,LKW_18t,961,13968.17,14.535
3,January,A9_Sued,Sued,LKW_7.5t,1184,13873.37,11.7174
3,January,A7_West,West,LKW_7.5t,1190,11834.99,9.9454
3,January,A1_Nord,Nord,LKW_18t,938,11637.5,12.4067
3,January,A1_Nord,Nord,LKW_7.5t,1225,10349.11,8.4483
3,January,A2_Ost,Ost,Bus,717,8698.4,12.1317
3,January,A9_Sued,Sued,Bus,703,6865.29,9.7657
3,January,A7_West,West,Bus,708,5819.53,8.2197
3,January,A1_Nord,Nord,Bus,719,5035.3,7.0032
3,January,A100_Berlin,Berlin,LKW_18t,988,3123.18,3.1611
3,January,A100_Berlin,Berlin,LKW_7.5t,1219,2620.05,2.1493
3,January,A100_Berlin,Berlin,Bus,711,1264.61,1.7786
3,January,A1_Nord,Nord,PKW,1965,0.0,0.0
3,January,A9_Sued,Sued,PKW,1915,0.0,0.0
3,January,A100_Berlin,Berlin,PKW,1938,0.0,0.0
3,January,A7_West,West,PKW,1880,0.0,0.0
3,January,A2_Ost,Ost,PKW,1912,0.0,0.0
4,January,A2_Ost,Ost,LKW_18t,959,20566.87,21.4462
4,January,A2_Ost,Ost,LKW_7.5t,1231,18048.06,14.6613
4,January,A9_Sued,Sued,LKW_18t,969,16690.84,17.2248
4,January,A7_West,West,LKW_18t,962,13998.39,14.5513
4,January,A9_Sued,Sued,LKW_7.5t,1173,13764.82,11.7347
4,January,A1_Nord,Nord,LKW_18t,977,12128.64,12.4142
4,January,A7_West,West,LKW_7.5t,1148,11373.19,9.907
4,January,A1_Nord,Nord,LKW_7.5t,1232,10415.11,8.4538
