month_name,segment_name,vehicle_type,transactions,pct_of_traffic,revenue,pct_of_revenue
January,A100_Berlin,Heavy,9776.0,45.8,25350.82,81.9
January,A100_Berlin,Light/Other,11579.0,54.2,5598.86,18.1
January,A1_Nord,Heavy,9542.0,44.6,97517.4,81.3
January,A1_Nord,Light/Other,11865.0,55.4,22364.58,18.7
January,A2_Ost,Heavy,9787.0,45.7,172937.19,82.1
January,A2_Ost,Light/Other,11621.0,54.3,37610.91,17.9
January,A7_West,Heavy,9640.0,45.0,115594.6,81.5
January,A7_West,Light/Other,11776.0,55.0,26288.65,18.5
January,A9_Sued,Heavy,9643.0,44.8,137464.48,81.2
January,A9_Sued,Light/Other,11870.0,55.2,31841.5,18.8
February,A100_Berlin,Heavy,9161.0,45.6,23723.29,81.5
February,A100_Berlin,Light/Other,10919.0,54.4,5401.52,18.5
February,A1_Nord,Heavy,8937.0,44.8,90851.09,81.7
February,A1_Nord,Light/Other,11019.0,55.2,20290.9,18.3
February,A2_Ost,Heavy,8905.0,44.6,157426.63,81.1
February,A2_Ost,Light/Other,11056.0,55.4,36665.68,18.9
February,A7_West,Heavy,8999.0,44.7,107729.94,81.1
February,A7_West,Light/Other,11119.0,55.3,25155.35,18.9
February,A9_Sued,Heavy,8789.0,44.8,124836.84,81.4
February,A9_Sued,Light/Other,10827.0,55.2,28523.21,18.6
March,A100_Berlin,Heavy,9284.0,44.8,24075.07,81.5
March,A100_Berlin,Light/Other,11445.0,55.2,5453.27,18.5
March,A1_Nord,Heavy,9331.0,45.2,95426.81,81.5
March,A1_Nord,Light/Other,11321.0,54.8,21685.63,18.5
March,A2_Ost,Heavy,9270.0,44.2,163671.71,80.6
March,A2_Ost,Light/Other,11682.0,55.8,39466.89,19.4
March,A7_West,Heavy,9518.0,45.3,113954.17,81.6
March,A7_West,Light/Other,11479.0,54.7,25728.29,18.4
March,A9_Sued,Heavy,9099.0,44.7,128888.18,81.1
March,A9_Sued,Light/Other,11273.0,55.3,29952.31,18.9
April,A100_Berlin,Heavy,9220.0,45.3,23881.53,81.9
April,A100_Berlin,Light/Other,11142.0,54.7,5270.79,18.1
April,A1_Nord,Heavy,9206.0,45.0,93936.32,81.5
April,A1_Nord,Light/Other,11271.0,55.0,21255.06,18.5
April,A2_Ost,Heavy,9408.0,45.5,166651.81,81.3
April,A2_Ost,Light/Other,11260.0,54.5,38278.01,18.7
April,A7_West,Heavy,9354.0,45.2,111669.61,81.5
April,A7_West,Light/Other,11340.0,54.8,25318.62,18.5
April,A9_Sued,Heavy,9356.0,45.4,132982.63,81.1
April,A9_Sued,Light/Other,11266.0,54.6,30954.1,18.9
May,A100_Berlin,Heavy,9640.0,44.7,24994.74,81.1
May,A100_Berlin,Light/Other,11932.0,55.3,5816.76,18.9
May,A1_Nord,Heavy,9587.0,44.6,97448.01,81.0
May,A1_Nord,Light/Other,11893.0,55.4,22857.79,19.0
May,A2_Ost,Heavy,9850.0,45.2,174110.24,81.2
May,A2_Ost,Light/Other,11927.0,54.8,40429.58,18.8
May,A7_West,Heavy,9652.0,45.3,115779.57,81.7
May,A7_West,Light/Other,11647.0,54.7,25881.99,18.3
May,A9_Sued,Heavy,9783.0,45.6,138662.95,81.9
May,A9_Sued,Light/Other,11658.0,54.4,30716.06,18.1
June,A100_Berlin,Heavy,8945.0,44.9,23153.49,81.0
June,A100_Berlin,Light/Other,10979.0,55.1,5416.6,19.0
June,A1_Nord,Heavy,8898.0,44.0,90732.57,80.3
June,A1_Nord,Light/Other,11337.0,56.0,22322.13,19.7
June,A2_Ost,Heavy,8896.0,45.0,157311.38,81.2
June,A2_Ost,Light/Other,10853.0,55.0,36495.66,18.8
June,A7_West,Heavy,9090.0,45.1,109156.06,81.5
June,A7_West,Light/Other,11055.0,54.9,24816.29,18.5
June,A9_Sued,Heavy,8893.0,45.1,126018.37,81.4
June,A9_Sued,Light/Other,10821.0,54.9,28751.18,18.6
